,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,address,postal_code
1546,143,LOR 2 TOA PAYOH,30,2000,Y,N,N,N,N,N,TP,183,0,0,0,107,76,0,0,0,0,0,0,0,143 LOR 2 TOA PAYOH,310143
1547,143,LOR AH SOO,13,1984,Y,N,N,Y,N,N,HG,96,0,0,0,84,12,0,0,0,0,0,0,0,143 LOR AH SOO,530143
1548,143,MARSILING RD,4,1984,Y,N,N,N,N,N,WL,16,0,0,0,16,0,0,0,0,0,0,0,0,143 MARSILING RD,730143
1549,143,MEI LING ST,13,1993,Y,N,N,Y,N,N,QT,75,0,0,0,39,36,0,0,0,0,0,0,0,143 MEI LING ST,140143
1550,143,PASIR RIS ST 11,11,1993,Y,N,N,N,N,N,PRC,78,0,0,0,41,37,0,0,0,0,0,0,0,143 PASIR RIS ST 11,510143
1551,143,PETIR RD,12,1987,Y,N,N,N,N,N,BP,132,0,0,66,66,0,0,0,0,0,0,0,0,143 PETIR RD,670143
1552,143,POTONG PASIR AVE 2,17,1983,Y,Y,N,Y,N,N,TP,156,0,0,80,68,8,0,0,0,0,0,0,0,143 POTONG PASIR AVE 2,350143
1553,143,RIVERVALE DR,17,1998,Y,N,N,Y,N,N,SK,96,0,0,0,0,0,96,0,0,0,0,0,0,143 RIVERVALE DR,540143
1554,143,SERANGOON NTH AVE 1,13,1986,Y,N,N,N,N,N,SGN,120,0,0,0,78,42,0,0,0,0,0,0,0,143 SERANGOON NTH AVE 1,550143
1555,143,TAMPINES ST 12,11,1983,Y,Y,N,N,N,N,TAP,80,0,0,0,12,68,0,0,0,0,0,0,0,143 TAMPINES ST 12,520143
1556,143,TECK WHYE LANE,2,1988,N,Y,N,N,N,N,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0,143 TECK WHYE LANE,680143
1557,143,YISHUN RING RD,4,1984,Y,N,N,N,N,N,YS,32,0,0,24,8,0,0,0,0,0,0,0,0,143 YISHUN RING RD,760143
1558,143A,RIVERVALE DR,1,1999,N,N,N,N,N,Y,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,143A RIVERVALE DR,541143
1559,144,BEDOK RESERVOIR RD,4,1986,Y,N,N,N,N,N,BD,48,0,0,32,16,0,0,0,0,0,0,0,0,144 BEDOK RESERVOIR RD,470144
1560,144,BISHAN ST 12,9,1987,Y,N,N,Y,N,N,BH,96,0,0,0,56,40,0,0,0,0,0,0,0,144 BISHAN ST 12,570144
1561,144,BT BATOK WEST AVE 6,4,1983,Y,N,N,N,N,N,BB,30,0,0,20,8,2,0,0,0,0,0,0,0,144 BT BATOK WEST AVE 6,650144
1562,144,JLN BT MERAH,11,1981,Y,N,N,Y,N,N,BM,100,0,0,80,20,0,0,0,0,0,0,0,0,144 JLN BT MERAH,160144
1563,144,LOR 2 TOA PAYOH,30,2000,Y,N,N,N,N,N,TP,183,0,0,0,107,76,0,0,0,0,0,0,0,144 LOR 2 TOA PAYOH,310144
1564,144,LOR AH SOO,13,1984,Y,N,N,N,N,N,HG,80,0,0,0,0,0,80,0,0,0,0,0,0,144 LOR AH SOO,530144
1565,144,PASIR RIS ST 11,10,1993,Y,N,N,N,N,N,PRC,62,0,0,0,36,26,0,0,0,0,0,0,0,144 PASIR RIS ST 11,510144
1566,144,PETIR RD,4,1987,Y,N,N,N,N,N,BP,24,0,0,0,0,0,24,0,0,0,0,0,0,144 PETIR RD,670144
1567,144,POTONG PASIR AVE 2,4,1983,Y,N,N,N,N,N,TP,32,0,0,0,32,0,0,0,0,0,0,0,0,144 POTONG PASIR AVE 2,350144
1568,144,RIVERVALE DR,17,1998,Y,N,N,Y,N,N,SK,131,0,0,0,34,97,0,0,0,0,0,0,0,144 RIVERVALE DR,540144
1569,144,SERANGOON NTH AVE 1,13,1985,Y,N,N,N,N,N,SGN,96,0,0,0,96,0,0,0,0,0,0,0,0,144 SERANGOON NTH AVE 1,550144
1570,144,SIMEI ST 2,4,1987,Y,N,N,N,N,N,TAP,8,0,0,0,0,0,8,0,0,0,0,0,0,144 SIMEI ST 2,520144
1571,144,TAMPINES ST 12,11,1984,Y,Y,N,N,N,N,TAP,153,0,0,46,106,0,0,0,0,0,0,1,0,144 TAMPINES ST 12,521144
1572,144,TECK WHYE LANE,16,1988,Y,Y,N,N,N,N,CCK,45,0,0,0,15,30,0,0,0,0,0,0,0,144 TECK WHYE LANE,680144
1573,144,WOODLANDS ST 13,4,1985,Y,N,N,N,N,N,WL,32,0,0,0,0,0,0,0,0,0,0,0,32,144 WOODLANDS ST 13,730144
1574,144,YISHUN ST 11,4,1984,Y,N,N,N,N,N,YS,32,0,0,24,8,0,0,0,0,0,0,0,0,144 YISHUN ST 11,760144
1575,145,BEDOK RESERVOIR RD,13,1986,Y,N,N,N,N,N,BD,72,0,0,0,0,0,72,0,0,0,0,0,0,145 BEDOK RESERVOIR RD,470145
1576,145,BISHAN ST 11,10,1986,Y,N,N,Y,N,N,BH,115,0,0,0,74,41,0,0,0,0,0,0,0,145 BISHAN ST 11,570145
1577,145,BT BATOK ST 11,4,1983,Y,N,N,N,N,N,BB,48,0,0,39,8,0,0,0,0,0,0,1,0,145 BT BATOK ST 11,650145
1578,145,JLN BT MERAH,9,1981,Y,N,N,N,N,N,BM,79,0,0,62,16,0,1,0,0,0,0,0,0,145 JLN BT MERAH,160145
1579,145,LOR AH SOO,13,1983,Y,N,N,N,N,N,HG,80,0,0,0,0,0,80,0,0,0,0,0,0,145 LOR AH SOO,530145
1580,145,LOR 2 TOA PAYOH,40,2005,Y,N,N,N,N,N,TP,234,0,0,0,195,39,0,0,0,0,0,0,0,145 LOR 2 TOA PAYOH,310145
1581,145,MEI LING ST,12,1994,Y,N,N,Y,N,N,QT,51,0,0,0,32,19,0,0,0,0,0,0,0,145 MEI LING ST,140145
1582,145,PASIR RIS ST 11,9,1993,Y,N,N,N,N,N,PRC,48,0,0,0,10,38,0,0,0,0,0,0,0,145 PASIR RIS ST 11,510145
1583,145,PETIR RD,4,1987,Y,N,N,N,N,N,BP,28,0,0,0,22,6,0,0,0,0,0,0,0,145 PETIR RD,670145
1584,145,POTONG PASIR AVE 2,17,1984,Y,N,N,N,N,N,TP,156,0,0,80,68,8,0,0,0,0,0,0,0,145 POTONG PASIR AVE 2,350145
1585,145,RIVERVALE DR,17,1998,Y,N,N,Y,N,N,SK,131,0,0,0,34,97,0,0,0,0,0,0,0,145 RIVERVALE DR,540145
1586,145,SERANGOON NTH AVE 1,4,1985,Y,N,N,N,N,N,SGN,40,0,0,0,28,12,0,0,0,0,0,0,0,145 SERANGOON NTH AVE 1,550145
1587,145,SIMEI ST 2,11,1987,Y,N,N,Y,N,N,TAP,80,0,0,0,34,46,0,0,0,0,0,0,0,145 SIMEI ST 2,520145
1588,145,TAMPINES ST 12,11,1984,Y,N,N,N,N,N,TAP,160,0,0,49,110,0,0,0,0,0,0,1,0,145 TAMPINES ST 12,521145
1589,145,TECK WHYE AVE,2,1988,N,Y,N,N,N,N,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0,145 TECK WHYE AVE,680145
1590,145,WOODLANDS ST 13,12,1984,Y,N,N,N,N,N,WL,110,0,0,66,44,0,0,0,0,0,0,0,0,145 WOODLANDS ST 13,730145
1591,145,YISHUN ST 11,12,1984,Y,Y,N,Y,N,N,YS,110,0,0,66,44,0,0,0,0,0,0,0,0,145 YISHUN ST 11,760145
1592,145A,BEDOK RESERVOIR RD,4,2017,N,N,N,N,Y,N,BD,0,0,0,0,0,0,0,0,0,0,0,0,0,145A BEDOK RESERVOIR RD,411145
1593,146,BEDOK RESERVOIR RD,13,1986,Y,N,N,N,N,N,BD,124,0,0,0,82,42,0,0,0,0,0,0,0,146 BEDOK RESERVOIR RD,470146
1594,146,BISHAN ST 11,10,1987,Y,N,N,N,N,N,BH,109,0,0,0,70,39,0,0,0,0,0,0,0,146 BISHAN ST 11,570146
1595,146,BT BATOK WEST AVE 6,12,1983,Y,N,N,N,N,N,BB,130,0,0,106,22,0,2,0,0,0,0,0,0,146 BT BATOK WEST AVE 6,650146
1596,146,GANGSA RD,9,1988,Y,N,N,N,N,N,BP,88,0,0,0,60,28,0,0,0,0,0,0,0,146 GANGSA RD,670146
1597,146,JLN BT MERAH,13,1981,Y,Y,N,N,N,N,BM,177,0,0,129,45,2,1,0,0,0,0,0,0,146 JLN BT MERAH,160146
1598,146,LOR 2 TOA PAYOH,40,2005,Y,N,N,N,N,N,TP,234,0,0,0,195,39,0,0,0,0,0,0,0,146 LOR 2 TOA PAYOH,310146
1599,146,MEI LING ST,22,1994,Y,N,N,N,N,N,QT,84,0,0,0,0,84,0,0,0,0,0,0,0,146 MEI LING ST,140146
1600,146,PASIR RIS ST 11,11,1993,Y,N,N,N,N,N,PRC,77,0,0,0,30,47,0,0,0,0,0,0,0,146 PASIR RIS ST 11,510146
1601,146,POTONG PASIR AVE 1,4,1985,Y,Y,N,N,N,N,TP,43,0,0,22,17,0,0,0,0,0,0,4,0,146 POTONG PASIR AVE 1,350146
1602,146,RIVERVALE DR,17,1998,Y,N,N,Y,N,N,SK,131,0,0,0,34,97,0,0,0,0,0,0,0,146 RIVERVALE DR,540146
1603,146,SERANGOON NTH AVE 1,13,1986,Y,N,N,N,N,N,SGN,96,0,0,0,96,0,0,0,0,0,0,0,0,146 SERANGOON NTH AVE 1,550146
1604,146,SIMEI ST 2,11,1988,Y,N,N,N,N,N,TAP,120,0,0,0,68,52,0,0,0,0,0,0,0,146 SIMEI ST 2,520146
1605,146,TAMPINES AVE 5,11,1984,Y,N,N,N,N,N,TAP,78,0,0,0,0,0,78,0,0,0,0,0,0,146 TAMPINES AVE 5,521146
1606,146,TECK WHYE AVE,1,1988,N,Y,N,N,N,N,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0,146 TECK WHYE AVE,680146
1607,146,WOODLANDS ST 13,12,1984,Y,Y,N,N,N,N,WL,110,0,0,66,44,0,0,0,0,0,0,0,0,146 WOODLANDS ST 13,730146
1608,146,YISHUN ST 11,12,1984,Y,N,N,N,N,N,YS,109,0,0,64,44,1,0,0,0,0,0,0,0,146 YISHUN ST 11,760146
1609,146A,LOR 2 TOA PAYOH,5,2004,N,N,N,Y,Y,N,TP,0,0,0,0,0,0,0,0,0,0,0,0,0,146A LOR 2 TOA PAYOH,311146
1610,146A,PASIR RIS ST 11,1,1993,N,N,N,N,N,Y,PRC,0,0,0,0,0,0,0,0,0,0,0,0,0,146A PASIR RIS ST 11,511146
1611,146A,RIVERVALE CRES,5,1997,N,N,N,N,Y,N,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,146A RIVERVALE CRES,541146
1612,146A,TECK WHYE AVE,5,2017,N,N,N,N,Y,N,CCK,0,0,0,0,0,0,0,0,0,0,0,0,0,146A TECK WHYE AVE,681146
1613,147,BEDOK RESERVOIR RD,13,1986,Y,N,N,N,N,N,BD,120,0,0,0,78,42,0,0,0,0,0,0,0,147 BEDOK RESERVOIR RD,470147
1614,147,BISHAN ST 11,9,1986,Y,N,N,N,N,N,BH,80,0,0,0,52,28,0,0,0,0,0,0,0,147 BISHAN ST 11,570147
1615,147,BT BATOK WEST AVE 6,4,1983,Y,N,N,N,N,N,BB,16,0,0,8,8,0,0,0,0,0,0,0,0,147 BT BATOK WEST AVE 6,650147
1616,147,GANGSA RD,13,1988,Y,N,N,N,N,N,BP,60,0,0,0,0,0,60,0,0,0,0,0,0,147 GANGSA RD,670147
1617,147,LOR 2 TOA PAYOH,40,2004,Y,N,N,N,N,N,TP,229,0,0,0,156,73,0,0,0,0,0,0,0,147 LOR 2 TOA PAYOH,310147
1618,147,MEI LING ST,8,1993,Y,N,N,Y,N,N,QT,24,0,0,0,0,0,24,0,0,0,0,0,0,147 MEI LING ST,140147
1619,147,PASIR RIS ST 13,10,1993,Y,N,N,N,N,N,PRC,91,0,0,0,42,49,0,0,0,0,0,0,0,147 PASIR RIS ST 13,510147
